formal,natural
eq_trapezoid C G Y X,"G, Y, X, and C forms a trapezoid where line CX is the same as line GY"
eqdia_quadangle I S W H,"S, W, H, and I is a quadrilateral such that line SH is the same as line IW"
incenter I J U F,the incenter of triangle JUF is located at I
eq_trapezoid B R I Z,"R, I, Z, and B is a trapezoid with line BZ = line RI"
eq_quadrilateral N V Y O,"N, O, V, Y forms a quadrilateral such that line NO = line VY"
eqdia_quadangle O S J W,line SW and line OJ are equal in quadrilateral OSJW
incenter G Q S C,"G is the incenter of C, S, & Q"
eq_triangle H Q X,"for triangle HQX, line XH = line HQ = line QX"
eq_distance D C F E,D is a point where line DC = line FE
eq_triangle V Q R,line VQ = line QR = line RV for triangle VQR
incenter E Y Z B,E is the point of intersection of the angle bisectors of triangle YZB
incenter L V Z X,triangle VZX has incenter L
eqdia_quadangle B R G X,"for quadrilateral BRGX, line BG = line RX"
circumcenter A F G W,"A is the circumcenter of F, G, & W"
eq_trapezoid O U Y G,"O, Y, U, and G forms a trapezoid such that line OG equals line UY"
foot B Z L V,B is the foot of Z on line LV
eq_triangle H Y M,triangle HYM is equilateral
circumcenter B Q F C,"B is the circumcenter of Q, C, F"
eq_distance H T K X,H is a point such that line KX is the same as line HT
eq_trapezoid F H P C,"F, P, H, C forms a trapezoid with line FC equals line HP"
eq_trapezoid I P W D,trapezoid IPWD is a trapezoid where line ID is equal to line PW
circle A C V X,"A is the center of the circle that passes through C, X, V"
eq_distance N A W Q,N is a point such that line WQ equals line NA
circumcenter D M A N,"D is the circumcenter of N, A, & M"
eq_triangle Q G F,triangle QGF is an equilateral triangle
circumcenter B M W D,"B is the circumcenter of M, W, and D"
incenter D E L X,triangle ELX has incenter D
eq_angle C J L B,C is a point where ∠LJC = ∠CBL
eq_quadrilateral O Q W Y,"Q, W, Y, & O forms a quadrilateral with line OY equals line QW"
circumcenter I K T A,"I is the circumcenter of T, A, K"
angle_mirror H M Y N,line YN is the bisector of ∠MYH
circumcenter Q W C X,Q is the circumcenter of triangle WCX
circle D U M K,"D is the center of the circle that passes through M, U, & K"
eq_angle B P G I,B is a point such that ∠GPB = ∠BIG
incenter M P L X,triangle PLX has incenter M
eq_quadrilateral M S L T,quadrilateral MSLT is a quadrilateral with line MT = line SL
