formal,natural
intersection_pp B C E L H R S,Line BC and line EL are parallel. Line HB and line RS are parallel. B is the intersection point
triangle V U A,VUA is a triangle
mirror X K S,X is the mirror image of K in S
on_tline B Q H D,B lies on the perpendicular line to HD at Q
square J B Q K,JBQK is a square
triangle T B R,TBR is a triangle
r_trapezoid K R U B,KRUB is a right angle trapezoid. With KR ⊥ KB
2l1c B H O P R S Z V,"RZ is a line SZ is another line. A circle centered at V passes through R and touches S. A circle centered at P touches RZ at B, SV at H and the circle centered at V at O"
intersection_cc P T V S,PTVS is a quadrilateral where TS = TP and VS = VP
eqdia_quadangle E W P F,quadrilateral EWPF has equal diagonals
excenter A X R Z,A is the excenter of triangle XRZ opposite to the angle RXZ
